Interface,Datetime,Value,Lon0,Lat0,Lon1,Lat1
B_C,1/4/2030 15:00,2847.44,153,-27,151,-34
B_C,1/4/2030 16:00,3510.43,153,-27,151,-34
B_C,1/4/2030 17:00,3131.84,153,-27,151,-34
B_C,1/4/2030 18:00,3461.93,153,-27,151,-34
B_C,1/4/2030 19:00,2858.11,153,-27,151,-34
B_C,1/4/2030 20:00,2230.44,153,-27,151,-34
B_C,1/4/2030 21:00,1808.28,153,-27,151,-34
B_C,1/4/2030 22:00,1448.96,153,-27,151,-34
B_C,1/4/2030 23:00,753.97,153,-27,151,-34
B_C,1/5/2030 0:00,398.31,153,-27,151,-34
B_C,1/5/2030 1:00,-58.57,153,-27,151,-34
B_C,1/5/2030 2:00,-71.34,153,-27,151,-34
B_C,1/5/2030 3:00,-358.88,153,-27,151,-34
B_C,1/5/2030 4:00,-178.32,153,-27,151,-34
B_C,1/5/2030 5:00,-528.21,153,-27,151,-34
B_C,1/5/2030 6:00,363.58,153,-27,151,-34
B_C,1/5/2030 7:00,1400.22,153,-27,151,-34
B_C,1/5/2030 8:00,3080.6,153,-27,151,-34
B_C,1/5/2030 9:00,1454.78,153,-27,151,-34
B_C,1/5/2030 10:00,1521.52,153,-27,151,-34
B_C,1/5/2030 11:00,1364.94,153,-27,151,-34
B_C,1/5/2030 12:00,1691.87,153,-27,151,-34
B_C,1/5/2030 13:00,2148.31,153,-27,151,-34
B_C,1/5/2030 14:00,1659.9,153,-27,151,-34
B_C,1/5/2030 15:00,2215.01,153,-27,151,-34
B_C,1/5/2030 16:00,2441.61,153,-27,151,-34
B_C,1/5/2030 17:00,3085.06,153,-27,151,-34
B_C,1/5/2030 18:00,2904.82,153,-27,151,-34
B_C,1/5/2030 19:00,2472.7,153,-27,151,-34
B_C,1/5/2030 20:00,1988.74,153,-27,151,-34
B_C,1/5/2030 21:00,1240.82,153,-27,151,-34
B_C,1/5/2030 22:00,643.5,153,-27,151,-34
B_C,1/5/2030 23:00,504.68,153,-27,151,-34
B_C,1/6/2030 0:00,202.87,153,-27,151,-34
B_C,1/6/2030 1:00,-196.32,153,-27,151,-34
B_C,1/6/2030 2:00,174.15,153,-27,151,-34
B_C,1/6/2030 3:00,142.09,153,-27,151,-34
B_C,1/6/2030 4:00,158.1,153,-27,151,-34
B_C,1/6/2030 5:00,95.39,153,-27,151,-34
B_C,1/6/2030 6:00,1228.82,153,-27,151,-34
B_C,1/6/2030 7:00,2059.04,153,-27,151,-34
B_C,1/6/2030 8:00,3065.82,153,-27,151,-34
B_C,1/6/2030 9:00,2629.93,153,-27,151,-34
B_C,1/6/2030 10:00,2697.6,153,-27,151,-34
B_C,1/6/2030 11:00,2569.84,153,-27,151,-34
B_C,1/6/2030 12:00,3782.83,153,-27,151,-34
B_C,1/6/2030 13:00,5407,153,-27,151,-34
B_C,1/6/2030 14:00,5407,153,-27,151,-34
B_C,1/6/2030 15:00,5407,153,-27,151,-34
B_C,1/6/2030 16:00,5407,153,-27,151,-34
B_C,1/6/2030 17:00,4680.74,153,-27,151,-34
B_C,1/6/2030 18:00,5334.96,153,-27,151,-34
B_C,1/6/2030 19:00,5407,153,-27,151,-34
B_C,1/6/2030 20:00,5407,153,-27,151,-34
B_C,1/6/2030 21:00,5306.31,153,-27,151,-34
B_C,1/6/2030 22:00,4421.5,153,-27,151,-34
B_C,1/6/2030 23:00,3779.01,153,-27,151,-34
B_C,1/7/2030 0:00,3147.19,153,-27,151,-34
B_C,1/7/2030 1:00,2482.48,153,-27,151,-34
B_C,1/7/2030 2:00,2140.65,153,-27,151,-34
B_C,1/7/2030 3:00,1929.48,153,-27,151,-34
B_C,1/7/2030 4:00,1693.67,153,-27,151,-34
B_C,1/7/2030 5:00,1630.6,153,-27,151,-34
B_C,1/7/2030 6:00,1500,153,-27,151,-34
B_C,1/7/2030 7:00,2750.5,153,-27,151,-34
B_C,1/7/2030 8:00,4891.3,153,-27,151,-34
B_C,1/7/2030 9:00,3441.82,153,-27,151,-34
B_C,1/7/2030 10:00,3390.42,153,-27,151,-34
B_C,1/7/2030 11:00,2808.53,153,-27,151,-34
B_C,1/7/2030 12:00,3165.62,153,-27,151,-34
B_C,1/7/2030 13:00,4069.23,153,-27,151,-34
B_C,1/7/2030 14:00,5149.21,153,-27,151,-34
B_C,1/7/2030 15:00,5218.74,153,-27,151,-34
B_C,1/7/2030 16:00,4549.84,153,-27,151,-34
B_C,1/7/2030 17:00,4533.33,153,-27,151,-34
B_C,1/7/2030 18:00,4924.84,153,-27,151,-34
B_C,1/7/2030 19:00,4804.17,153,-27,151,-34
B_C,1/7/2030 20:00,4350.61,153,-27,151,-34
B_C,1/7/2030 21:00,3406.03,153,-27,151,-34
B_C,1/7/2030 22:00,2899.33,153,-27,151,-34
B_C,1/7/2030 23:00,2374.34,153,-27,151,-34
C_A,1/1/2030 0:00,640.39,151,-34,130,-12
C_A,1/1/2030 1:00,667.4,151,-34,130,-12
C_A,1/1/2030 2:00,400.12,151,-34,130,-12
C_A,1/1/2030 3:00,404.46,151,-34,130,-12
C_A,1/1/2030 4:00,415.59,151,-34,130,-12
C_A,1/1/2030 5:00,305.43,151,-34,130,-12
C_A,1/1/2030 6:00,690.47,151,-34,130,-12
C_A,1/1/2030 7:00,813.14,151,-34,130,-12
C_A,1/1/2030 8:00,1064.29,151,-34,130,-12
C_A,1/1/2030 9:00,719.34,151,-34,130,-12
C_A,1/1/2030 10:00,693.42,151,-34,130,-12
C_A,1/1/2030 11:00,788.17,151,-34,130,-12
C_A,1/1/2030 12:00,768.51,151,-34,130,-12
C_A,1/1/2030 13:00,984.74,151,-34,130,-12
C_A,1/1/2030 14:00,944.3,151,-34,130,-12
C_A,1/1/2030 15:00,995.11,151,-34,130,-12
C_A,1/1/2030 16:00,939.87,151,-34,130,-12
C_A,1/1/2030 17:00,1026.76,151,-34,130,-12
C_A,1/1/2030 18:00,845.75,151,-34,130,-12
C_A,1/1/2030 19:00,753.57,151,-34,130,-12
C_A,1/1/2030 20:00,621.29,151,-34,130,-12
C_A,1/1/2030 21:00,520.14,151,-34,130,-12
C_A,1/1/2030 22:00,417.92,151,-34,130,-12
C_A,1/1/2030 23:00,172.29,151,-34,130,-12
C_A,1/2/2030 0:00,99.15,151,-34,130,-12
C_A,1/2/2030 1:00,68.21,151,-34,130,-12
C_A,1/2/2030 2:00,-111.47,151,-34,130,-12
C_A,1/2/2030 3:00,-49.86,151,-34,130,-12
C_A,1/2/2030 4:00,-42.42,151,-34,130,-12
C_A,1/2/2030 5:00,-4.34,151,-34,130,-12
C_A,1/2/2030 6:00,340.84,151,-34,130,-12
C_A,1/2/2030 7:00,429.31,151,-34,130,-12
C_A,1/2/2030 8:00,753.54,151,-34,130,-12
C_A,1/2/2030 9:00,769.89,151,-34,130,-12
C_A,1/2/2030 10:00,816.91,151,-34,130,-12
C_A,1/2/2030 11:00,616.13,151,-34,130,-12
C_A,1/2/2030 12:00,541.68,151,-34,130,-12
C_A,1/2/2030 13:00,455.24,151,-34,130,-12
C_A,1/2/2030 14:00,256.8,151,-34,130,-12
C_A,1/2/2030 15:00,486.77,151,-34,130,-12
C_A,1/2/2030 16:00,551.01,151,-34,130,-12
C_A,1/2/2030 17:00,645.73,151,-34,130,-12
C_A,1/2/2030 18:00,564.19,151,-34,130,-12
C_A,1/2/2030 19:00,475.71,151,-34,130,-12
C_A,1/2/2030 20:00,518.81,151,-34,130,-12
C_A,1/2/2030 21:00,293.53,151,-34,130,-12
C_A,1/2/2030 22:00,121.08,151,-34,130,-12
C_A,1/2/2030 23:00,95,151,-34,130,-12
C_A,1/3/2030 0:00,24.48,151,-34,130,-12
C_A,1/3/2030 1:00,29.74,151,-34,130,-12
C_A,1/3/2030 2:00,-157.9,151,-34,130,-12
C_A,1/3/2030 3:00,82.59,151,-34,130,-12
C_A,1/3/2030 4:00,-31.21,151,-34,130,-12
C_A,1/3/2030 5:00,-166.4,151,-34,130,-12
C_A,1/3/2030 6:00,-228.09,151,-34,130,-12
C_A,1/3/2030 7:00,-337.85,151,-34,130,-12
C_A,1/3/2030 8:00,-513.9,151,-34,130,-12
C_A,1/3/2030 9:00,-626.87,151,-34,130,-12
C_A,1/3/2030 10:00,-592.1,151,-34,130,-12
C_A,1/3/2030 11:00,-99.38,151,-34,130,-12
C_A,1/3/2030 12:00,-214.47,151,-34,130,-12
C_A,1/3/2030 13:00,-80.45,151,-34,130,-12
C_A,1/3/2030 14:00,-131.86,151,-34,130,-12
C_A,1/3/2030 15:00,93.85,151,-34,130,-12
C_A,1/3/2030 16:00,68.38,151,-34,130,-12
C_A,1/3/2030 17:00,137.7,151,-34,130,-12
C_A,1/3/2030 18:00,459.76,151,-34,130,-12
C_A,1/3/2030 19:00,491.25,151,-34,130,-12
C_A,1/3/2030 20:00,260.85,151,-34,130,-12
C_A,1/3/2030 21:00,114.06,151,-34,130,-12
C_A,1/3/2030 22:00,63.16,151,-34,130,-12
C_A,1/3/2030 23:00,-47.48,151,-34,130,-12
C_A,1/4/2030 0:00,52.7,151,-34,130,-12
C_A,1/4/2030 1:00,135.94,151,-34,130,-12
C_A,1/4/2030 2:00,-63.22,151,-34,130,-12
C_A,1/4/2030 3:00,-61.35,151,-34,130,-12
C_A,1/4/2030 4:00,22.63,151,-34,130,-12
C_A,1/4/2030 5:00,202.61,151,-34,130,-12
C_A,1/4/2030 6:00,467.76,151,-34,130,-12
C_A,1/4/2030 7:00,668.76,151,-34,130,-12
C_A,1/4/2030 8:00,1060.09,151,-34,130,-12
C_A,1/4/2030 9:00,863.65,151,-34,130,-12
C_A,1/4/2030 10:00,760.85,151,-34,130,-12
C_A,1/4/2030 11:00,643.15,151,-34,130,-12
C_A,1/4/2030 12:00,676.8,151,-34,130,-12
C_A,1/4/2030 13:00,692.73,151,-34,130,-12
C_A,1/4/2030 14:00,479.64,151,-34,130,-12
C_A,1/4/2030 15:00,718.11,151,-34,130,-12
C_A,1/4/2030 16:00,977.34,151,-34,130,-12
C_A,1/4/2030 17:00,875.8,151,-34,130,-12
C_A,1/4/2030 18:00,960.53,151,-34,130,-12
C_A,1/4/2030 19:00,737.8,151,-34,130,-12
C_A,1/4/2030 20:00,570.95,151,-34,130,-12
C_A,1/4/2030 21:00,449.16,151,-34,130,-12
C_A,1/4/2030 22:00,326.17,151,-34,130,-12
C_A,1/4/2030 23:00,168.36,151,-34,130,-12
C_A,1/5/2030 0:00,167.21,151,-34,130,-12
C_A,1/5/2030 1:00,73.94,151,-34,130,-12
C_A,1/5/2030 2:00,190.63,151,-34,130,-12
C_A,1/5/2030 3:00,23.89,151,-34,130,-12
C_A,1/5/2030 4:00,179.84,151,-34,130,-12
C_A,1/5/2030 5:00,-29.56,151,-34,130,-12
C_A,1/5/2030 6:00,169.38,151,-34,130,-12
C_A,1/5/2030 7:00,356.05,151,-34,130,-12
C_A,1/5/2030 8:00,833.49,151,-34,130,-12
C_A,1/5/2030 9:00,513.51,151,-34,130,-12
C_A,1/5/2030 10:00,609.3,151,-34,130,-12
C_A,1/5/2030 11:00,497.72,151,-34,130,-12
C_A,1/5/2030 12:00,561.11,151,-34,130,-12
C_A,1/5/2030 13:00,551.95,151,-34,130,-12
C_A,1/5/2030 14:00,360.78,151,-34,130,-12
C_A,1/5/2030 15:00,624.77,151,-34,130,-12
C_A,1/5/2030 16:00,824.12,151,-34,130,-12
C_A,1/5/2030 17:00,945.47,151,-34,130,-12
C_A,1/5/2030 18:00,863.73,151,-34,130,-12
C_A,1/5/2030 19:00,676.66,151,-34,130,-12
C_A,1/5/2030 20:00,604.05,151,-34,130,-12
C_A,1/5/2030 21:00,359.49,151,-34,130,-12
C_A,1/5/2030 22:00,174.17,151,-34,130,-12
C_A,1/5/2030 23:00,167.4,151,-34,130,-12
C_A,1/6/2030 0:00,91.06,151,-34,130,-12
C_A,1/6/2030 1:00,28.43,151,-34,130,-12
C_A,1/6/2030 2:00,99.74,151,-34,130,-12
C_A,1/6/2030 3:00,129.27,151,-34,130,-12
C_A,1/6/2030 4:00,143.91,151,-34,130,-12
C_A,1/6/2030 5:00,131.87,151,-34,130,-12
C_A,1/6/2030 6:00,505.85,151,-34,130,-12
C_A,1/6/2030 7:00,764.42,151,-34,130,-12
C_A,1/6/2030 8:00,1054.61,151,-34,130,-12
C_A,1/6/2030 9:00,1017.37,151,-34,130,-12
C_A,1/6/2030 10:00,1049.89,151,-34,130,-12
C_A,1/6/2030 11:00,1069.22,151,-34,130,-12
C_A,1/6/2030 12:00,1410.73,151,-34,130,-12
C_A,1/6/2030 13:00,1677.63,151,-34,130,-12
C_A,1/6/2030 14:00,1748.8,151,-34,130,-12
C_A,1/6/2030 15:00,1629.91,151,-34,130,-12
C_A,1/6/2030 16:00,1585.21,151,-34,130,-12
C_A,1/6/2030 17:00,1467.91,151,-34,130,-12
C_A,1/6/2030 18:00,1645.25,151,-34,130,-12
C_A,1/6/2030 19:00,1742.58,151,-34,130,-12
C_A,1/6/2030 20:00,1696.58,151,-34,130,-12
C_A,1/6/2030 21:00,1586.18,151,-34,130,-12
C_A,1/6/2030 22:00,1347.8,151,-34,130,-12
C_A,1/6/2030 23:00,1162.28,151,-34,130,-12
C_A,1/7/2030 0:00,1079.73,151,-34,130,-12
C_A,1/7/2030 1:00,868.22,151,-34,130,-12
C_A,1/7/2030 2:00,799.35,151,-34,130,-12
C_A,1/7/2030 3:00,735.71,151,-34,130,-12
C_A,1/7/2030 4:00,684.75,151,-34,130,-12
C_A,1/7/2030 5:00,687.13,151,-34,130,-12
C_A,1/7/2030 6:00,596.58,151,-34,130,-12
C_A,1/7/2030 7:00,873.1,151,-34,130,-12
C_A,1/7/2030 8:00,1593.47,151,-34,130,-12
C_A,1/7/2030 9:00,1167.74,151,-34,130,-12
C_A,1/7/2030 10:00,1176.93,151,-34,130,-12
C_A,1/7/2030 11:00,1010.81,151,-34,130,-12
C_A,1/7/2030 12:00,1064.74,151,-34,130,-12
C_A,1/7/2030 13:00,1195.28,151,-34,130,-12
C_A,1/7/2030 14:00,1489.25,151,-34,130,-12
C_A,1/7/2030 15:00,1576.08,151,-34,130,-12
C_A,1/7/2030 16:00,1353.24,151,-34,130,-12
C_A,1/7/2030 17:00,1557.36,151,-34,130,-12
C_A,1/7/2030 18:00,1649.7,151,-34,130,-12
C_A,1/7/2030 19:00,1553.11,151,-34,130,-12
C_A,1/7/2030 20:00,1356.49,151,-34,130,-12
C_A,1/7/2030 21:00,1115.83,151,-34,130,-12
C_A,1/7/2030 22:00,967.5,151,-34,130,-12
C_A,1/7/2030 23:00,802.69,151,-34,130,-12
